Day,E_L
1,10.9570078
2,11.45871223
3,10.50486706
4,9.446791723
5,8.34454688
6,6.089920687
7,6.107970943
8,10.30480496
9,11.23660293
10,11.40263283
11,11.09024797
12,6.79778127
13,5.317485123
14,5.317485123
15,5.459034811
16,7.93988195
17,9.836161053
18,9.739807253
19,8.752635294
20,9.376663724
21,8.255648182
22,9.028767457
23,8.104642115
24,7.528460664
25,8.552610716
26,10.69003235
27,9.522161543
28,8.437628929
29,6.652469023
30,7.228464589
31,10.48452817
32,11.60921065
33,11.42881309
34,8.906719054
35,6.923683173
36,6.550649604
37,6.853160841
38,12.13588397
39,10.17833786
40,9.903377757
41,10.6112817
42,8.05284284
43,7.442778989
44,9.442705634
45,12.9524978
46,13.55271261
47,15.37858457
48,15.96058438
49,14.80721659
50,13.63374489
51,13.62172211
52,13.47786064
53,11.2600159
54,12.41002631
55,11.36415267
56,8.957702028
57,8.609077559
58,7.874618266
59,9.274628054
60,10.77424508
61,14.77174155
62,16.41304616
63,10.2834597
64,9.64959304
65,10.32190134
66,9.13910372
67,10.36758511
68,11.85264832
69,9.312785538
70,10.73337994
