Day,e_W
1,13.04405691
2,14.69065671
3,13.13108383
4,11.95796421
5,9.817113977
6,7.908987905
7,8.367083484
8,13.04405691
9,14.98213725
10,12.9575373
11,11.79813614
12,8.604786417
13,8.308570505
14,8.308570505
15,8.665134621
16,9.682782866
17,11.17745574
18,11.87781372
19,12.87152249
20,13.39523389
21,12.7009972
22,10.87803308
23,10.95221907
24,11.40675858
25,11.25343515
26,11.87781372
27,13.04405691
28,11.71892907
29,13.04405691
30,10.95221907
31,12.78600996
32,13.04405691
33,13.93757693
34,10.73098681
35,9.616226629
36,9.098124449
37,10.87803308
38,13.48431553
39,13.2186206
40,13.75469133
41,15.37866913
42,12.20127703
43,12.20127703
44,17.1685557
45,15.99073802
46,16.73174397
47,17.27930851
48,18.77715809
49,16.09480064
50,14.98213725
51,15.47922968
52,17.27930851
53,19.75441386
54,17.72860901
55,14.02981811
56,12.61648173
57,13.04405691
58,12.7009972
59,15.99073802
60,17.95707514
61,20.5163077
62,20.5163077
63,14.69065671
64,13.2186206
65,15.17926668
66,14.98213725
67,17.27930851
68,19.75441386
69,15.78438227
70,15.78438227
